description,Threats or intimidation
"Ok, fair enough.
  
  Just seems like it could be used outside openstack (and if later we have to rename it so that it's more obvious it can be used outside, that sorta sucks to have to go through that process).",0
"Ok, I see what you're saying, so I added a CHECK_LE(), not just for overall defensive coding, but also since these APIs are kind of peculiar in the first place (i.e. the cb/cch args are so weird, what if I screwed them up? Or what if I pass one size and check against a different size?)
 
 Friendly joke: Now that I understand your thinking, I fully expect you to 1) find all calls to open() and make sure they check for fds < -1, 2) find all calls to read() and add a CHECK_LE() in case it overran the buffer. ;-) ;-) ;-)",0
omfg,0
"OMG, this alias is terrible!",0
"ooh, burn!",0
"Oops, brain fart :-) Sorry, I had misread that page (I overlooked the fact that most overloads only applied to unique_ptr<T[]>). Shutdown() got removed altogether in the end, so we won't be needing either version.",0
"oops. might need to grep for this, though cs/ suggests this is the only place we screwed up.
 
 (it sucks that the obviously right name is the one that doesn't work!)",0
"Output formatting is kind of ugly right now, yeah.",0
"PLEASE STOP ADDING THIS METHOD.
  
  It was already removed from master cause it is written through ass. 
  
  And I already in some of patch sets of this method said that. 
  
  There is normal implementation here:
  
  https://github.com/stackforge/rally/blob/master/rally/benchmark/scenarios/neutron/utils.py#L34",0
"Running dd as root allows about a billion compromises, so this should be tightened at some point (being able to tighten being the whole point of rootwrap). Getting the tightening right is damn hard though, so should probably be a separate bug.",0
"See, this is why having the changelog on the client side sucks - you removed the client side method, so felt you needed to update the changelog, so felt you needed to bump the version number :)",0
"silly nit, this isn't valid JSON, you're missing a closing ]",0
"Sorry, I suck. I should have also told you to put this in pkg_preinst()",0
"stupid IDE, good catch",0
stupid style nit - list comprehension is slightly nicer.,0
stupid trailing space,0
suggest change to not ... and continue so can get rid of this wacky indenting.,0
"that English language stuff always confused the hell out of me.... yep, I kept wordsmithing this line and still didn't like it.",0
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
  
  Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.",0
"The CBManagerState change in the new SDK is so sucky :-( We did https://chromium-review.googlesource.com/c/chromium/src/+/587510/5/device/bluetooth/bluetooth_adapter_mac.mm#43 on Mac (and see discussion on bug linked from that CL). But if this is the only place, this is fine too.",0
"These function names - specifically the ""stub1, stub2"" are ugly.",0
This dirty downloading hack looks familiar. lol,0
"This is kind of ugly...
 I think instead you should pass the timeout with the function when you register it, and keep a private max timeout requested variable",0
"this is ugly, you should probably split it on two lines so it lines up. (or remove channel so it is shorter) :)
  
  'nfs=nova.virt.libvirt.volume_nfs.NfsVolumeDriver',
  'fibrechan=nova.virt.libvirt.volume.'
  'LibvirtFibreChannelVolumeDriver',",0
"This line is super horrible and needs to die! Please do something like:
  
  attempts = 1
  if retries >= 1:
  attempts = retries + 1
  
  or something along those lines.
  
  also - a test would be nice (there are already tests that test some cases of this so just add another one in test_compute_mgr.py",0
"This part is apparently not true. (if by upper layers, you mean other parts of flashrom.)<br><br>I tried 'flashrom --read /tmp/c.bin' on Kevin, and this produced a large (full 8MB I think?) read, which apparently the SPI driver still can't handle. I need to fix that up...<br><br>But this means unfortunately, we should keep the hack for now, and loop over eraseblock sized chunks in the 'read' path still. And for your sake, we can do the same for writes. (I just objected to changing the ""page size"".)<br><br>Sorry for jerking you around a bit :) I'll try to fix things up on the MTD side a bit, so we don't have to live with these hacks forever.",0
"This was actually shockingly bad, since it meant that we'd always calculate the hashed id even if the blacklist was empty. Yuck!",0
This'll crap out if the search fails,0
Totally clumsy! I dislike it immensely! I think we should make a fileglobbing feature.,0
"Ugh - this is such a low level detail to put it here.
  
  Why not do it in the scheduler_client.update_resource_stats()?
  
  But really this RT code just sucks :( it's basically one giant function that operates on dicts that eventually get passed into the db update. yuck!",0
"Ugh - this is such a low level detail to put it here.
  
  Why not do it in the scheduler_client.update_resource_stats()?
  
  But really this RT code just sucks :( it's basically one giant function that operates on dicts that eventually get passed into the db update. yuck!",0
"Uh yeah so at the risk of driving you insane, you've got weighters twice here where you caller them weighers everywhere else.
  
  /duck",0
"Unfortunately I had to do all of that casting or Ansible converted back to unicode :/ I agree, very ugly.",0
"Unique constraints or indexes on nullable columns are absolutely stupid, anyway. I fully support getting rid of these cases in the DB schema.",0
what if the directory doesn't exist locally? Will this be created? If so I wonder if subsequent stack.sh may end up screw up permissions? If not since this is supposed to be owned by the 'stack' user?,0
whatttt *shruggggg*,0
Why the hell we need a copy?!,0
"Wtf why did you change "" to ' when we are changing everywhere ' to """,0
"Ya, one mans garbage is another mans not garbage. It'd be nicer to have a log level for this stuff; since when the shit hits the fan it can actually be useful, better to have things and just turn then off then not have them at all.",0
ya. darn. i thought i snagged all these.,0
"Yea, it is a bit messy - and particularly when considering arm32-style paired single registers. I think a portable sameness test would be something like:
 
  bool IsSameReg(RegStorage reg1, RegStorage reg2) {
  RegisterInfo* info1 = GetRegInfo(reg1);
  RegisterInfo* info2 = GetRegInfo(reg2);
  return (info1->Master() == info2->Master()) &&
  ((info1->StorageMask() & info2->StorageMask()) != 0);
  }
 
 Yuck.",0
"yeah that sucked, fixed
  
  Done.",0
"Yes, and ... crap.",0
"Yes, but I guess this is rabbit issue only, due to the fact that the reply queue have been historically created with auto_delete=True.
  
  Another rabbitmq reported issue in the past was that a HA rabbitmq cluster that failover can in certain circumstance report that the queue doesn't exists just after the failover when It exists in reality. That another reason of why we do this crap.",0
"Yes, doc strings in unit tests suck because they cause the name of the failing test to be hidden.",0
"yes, i guess i was understating :P damn Brits",0
"Yes, unfortunately this does add some fragility here. Though you are wrong that it is inserting namespace data. And of course if the compiler does add that, it would make for a 100% failure rate of the test (fun fact: \__func_ \_ apparently at least on the Android build system is resolved to \__PRETTY_FUNCTION_ \_ which does add a lot of crap).<br><br>As per the commend on the hardcoded strings though, this way we are ensuring we have to correct mapping and don't require constants for everything that is redundant and makes it harder to add tests.<br><br>Again, this is a test - not another abstraction layer on top of a HAL on top of an API...",0
you can. some people prefer reinterpret_cast because it shouts danger! crappy type-unsafe C API here!. others prefer static_cast because it's the weakest cast that will still work. i'll +2 either (but tend to use reinterpret_cast personally; i've never seen anyone make the mistakes that static_cast would prevent in this specific circumstance).,0
You mean here and on lines 60 and 62? Those exception are just to verify that this fixup works... And I need Jenkins to fail to see either one of those messages. And nothing fails! Damn heisenbug!,0
"You need to either make this a get('count', 1) or add a validator to ensure that the count key exists. KeyErrors are ugly.",0
Your ordering is a little ugly. BUG= and TEST= should be above all the tags an the Change-Id should be together with all the Signed-off-bys. Then maybe I would have noticed that git hash the first time I looked at this.,0
"Yuck, cruft, will remove tomorrow. Wonder why it didn't warn me...",0
"Yuck. Use %.70s, which will do this more gracefully",0
Empty brackets looks ugly.<br> <br> Please remove it if possible.,0
exact same thing as a dumb mmap,0
Forgot about this. I'm having a hell of a time getting libcros to find <glib-object.h>. Working on that now.,0
"From IRC:
  
  <mordred> hell, I think run_tests.sh is an abomination anyway - I can't imagine having it call out to a project-specific thing will be any worse if it gets us a bulk of things to be oslo
  
  so I think it's worth giving the tools/run_tests_common.sh idea a try",0
"honestly, i might even change it to 60min. timeouts are supposed to catch the this is totally screwed up, let's abort not we're close to normal, but let's throw up everywhere anyways.",0
"I don't agree here, property in python are awful, especially when you want to test such methods.",0
I really hate the 'i' as it smells like hungarian notation. I'd like something more self documenting. How about nocase? __startswith_nocase=Y,0
"I really hate those. Not sure what the officiel OpenStack policy is, though.",0
"I think this solution is braindead also, like the previous one. Can we try to ass the null.? Anyway, +2 because safe.",0
"I was thinking exactly the same. This was taken from another driver, but it seems silly.",0
I would have kept the comments out of the localrc generated but I am anally retentive.,0
